year,voter_name,affiliation,yr_contrary,num_awards_voted
2014,Tom Heinsohn,Comcast SportsNet,1.882252074923628,4
2014,Tony Fiorentino,Sun Sports,2.50193919151646,3
2014,Vince Ellis,Detroit Free Press,3.2679941880940686,6
2014,Vincent Goodwill,Detroit News,4.467906271726476,7
2014,Walt Frazier,MSG Network,2.565629598190931,4
2014,Zach Lowe,Grantland,7.147510852920484,9
2015,A. Sherrod Blakely,Comcast SportsNet,4.428570458280272,6
2015,Aaron Falk,Salt Lake Tribune,5.007035005922741,9
2015,Adrian Chavarria,KEYH 850 AM,3.2863566289772774,4
2015,Al Iannazzone,Newsday,2.11972969673951,4
2015,Alan Horton,WCCO 830-AM,5.000704812375115,9
2015,Andre Aldridge,Fox Sports South,5.096949401593506,9
2015,Andy Vasquez,Bergen Record,2.4315509415529553,4
2015,Anthony Slater,Oklahoman,3.135796149657243,6
2015,Antonio Harvey,Fox Sports Radio/620AM,5.446673003752222,6
2015,Bill Land,Fox Sports Southwest,6.946528392774247,9
2015,Bill Oram,Orange County Register,5.093061830464086,9
2015,Bill Reiter,Foxsports.com,4.509618225052911,9
2015,Bill Schoening,WOAI Radio,5.216988871910098,9
2015,Bill Simmons,Grantland,6.811968211803389,9
2015,Bill Wennington,WMVP AM 1000,4.949495392416683,5
2015,Bill Worrell,Root Sports Southwest,4.599834119677623,5
2015,Bob Cooney,Philadelphia Daily News,3.607156848698029,5
2015,Bob Fitzgerald,Comcast SportsNet Bay Area,6.076271112061836,6
2015,Bob Rathbun,Fox Sports South,8.53344988445153,9
2015,Brendan Brown,MSG Network,2.769882058729185,3
2015,Brian Davis,Fox Sports Oklahoma,5.175365168943178,7
2015,Brian Sieman,The Beast 980 AM FM,4.618371978135617,7
2015,Brian Windhorst,ESPN.com,5.307346719022484,9
2015,Candace Buckner,Indianapolis Star,6.4107113733327505,9
2015,Cedric Maxwell,WEEI Radio,7.387618144763213,6
2015,Charles Gardner,Milwaukee Journal Sentinel,5.710952434567453,9
2015,Chris Broussard,ESPN The Magazine,5.834468965107049,9
2015,Chris Carrino,WFAN (660),3.4760530028357377,4
2015,Chris Dempsey,Denver Post,4.826557653627128,7
2015,Chris Denari,Fox Sports Indiana,4.537868339100644,9
2015,Chris Haynes,Northeast Ohio Media Group/Cleveland.com,6.481120626280054,6
2015,Chris Mannix,Sports Illustrated,4.946074478187652,9
2015,Chris Marlowe,Altitude Sports & Entertainment,3.328977621554437,6
2015,Chris Sheridan,Sheridanhoops.com,5.6799492558916915,9
2015,Chuck Cooperstein,ESPN 103.3,4.598382152559824,7
2015,Chuck Swirsky,WMVP AM 1000,2.783315320034112,4
2015,Craig Ackerman,Sportstalk 790 AM,3.266602909569107,5
2015,Dan Woike,Orange County Register,4.994945676933054,7
2015,Dante Marchitelli,Fox Sports Florida,4.459631349193967,5
2015,Darnell Mayberry,Oklahoman,4.845111501740309,8
2015,Dave Johnson,106.7 The Fan,4.076286343643948,6
2015,Dave McMenamin,ESPN.com,4.4736573094532615,7
2015,David Aldridge,TNT,6.006960925751207,9
2015,David Mayo,Mlive Media Group,8.014444673801842,9
2015,David Steele,Fox Sports Florida,2.7201234712063136,5
2015,Dei Lynam,Comcast SportsNet,1.747114756463239,4
2015,Dell Curry,Fox Sports Carolinas/SportSouth,1.9748529257528147,4
2015,Dennis Neumann,ESPN 580 AM,5.273373329398335,6
2015,Diamond Leung,Bay Area News Group/Contra Costa Times,2.476373318951207,5
2015,Doris Burke,ESPN,5.482771107414292,9
2015,Doug Smith,The Toronto Star,6.761179535525605,9
2015,Dwain Price,Ft. Worth Star Telegam,4.02885049632471,6
2015,Eddie Johnson,Fox Sports Arizona,4.076786571910224,5
2015,Eddie Sefko,Dallas Morning News,5.6335529212340205,7
2015,Eric Hasseltine,92.9 FM ESPN/680 AM,5.603448467745423,9
2015,Eric Reid,Sun Sports,2.596226499865749,3
2015,Eric Smith,TSN 1050/Sportsnet 590 The Fan,2.042575723285979,4
2015,Ernie Johnson,TNT,4.6581778836899375,9
2015,Ethan Skolnick,Bleacher Report,5.118422160689359,9
2015,Fran Blinebury,NBA.com,7.337797075169235,9
2015,Frank Isola,Sirius Radio/New York Daily News,5.540453518516265,9
2015,Fred McLeod,Fox Sports Ohio,5.645863534380873,7
2015,Gary Gerould,Comcast SportsNet-CA,4.319008877258621,9
2015,Gary Washburn,Boston Globe,6.228855242689041,9
2015,George Blaha,WMGC / Fox Sports Detroit,6.66042183376172,9
2015,Glenn Consor,106.7 The Fan,5.285360723364801,7
2015,Grant Napear,Comcast SportsNet-CA,5.2739538962616574,9
2015,Howard Beck,Bleacher Report,6.808410526233617,9
2015,Hubie Brown,ESPN,8.969656703739997,9
2015,Ian Eagle,YES Network,1.8002096635902904,4
2015,Ira Winderman,South Florida Sun Sentinel,3.9203033204961937,5
2015,Israel Gutierrez,ESPN.com,6.9993320677686865,9
2015,JA Adande,ESPN.com,5.3059696978704105,9
2015,Jabari Young,Comcast SportsNet NW,5.174712311873506,7
2015,Jack Armstrong,SportsNet/TSN,1.7267019332935634,2
2015,Jason Jackson,Sun Sports,2.788068368141655,4
2015,Jason Jones,Sacramento Bee,6.271805328662029,9
2015,Jason Kosmicki,Altitude Radio Network,6.832106704102082,7
2015,Jason Lloyd,Akron Beacon Journal,7.380576614415039,7
2015,Jeff McDonald,San Antonio Express-News,5.602789714235811,9
2015,Jeff Turner,Fox Sports Florida,4.71214344886187,5
2015,Jeff Zillgitt,USA Today,5.911728793499165,9
2015,Jerry Zgoda,Minneapolis Star Tribune,4.813662297476685,9
2015,Jim Barnett,Comcast SportsNet Bay Area,2.3009303176124467,5
2015,Jim Paschke,Fox Sports Wisconsin,6.347666863717581,9
2015,Jim Petersen,Fox Sports North,5.3544453870234525,9
2015,Jody Genessy,Deseret News,6.388893617730596,9
2015,Joe Cowley,Chicago Sun-Times,1.4472050474273332,3
2015,Joe Freeman,The Oregonian,4.093505674786821,7
2015,Joe Goodman,Miami Herald,2.9956104042805545,5
2015,Joel Meyers,Fox Sports New Orleans,5.305915411168014,9
2015,John Denton,OrlandoMagic.com,4.912537958725768,6
2015,John Reid,New Orleans Times Picayune,5.685134809468918,9
2015,Jon Barry,ESPN Radio,4.6035385276919385,9
2015,Jonathan Feigen,Houston Chronicle,5.423047579684299,9
2015,Jose Paneda,WAQI Radio,2.4093006031365594,3
2015,K.C. Johnson,Chicago Tribune,1.923441888061379,4
2015,Keith Pompey,Philadelphia Inquirer,4.352686673346129,5
2015,Ken Berger,CBSSports.com,6.948798167627651,9
2015,Kevin Arnovitz,ESPN.com,7.095622425007511,9
2015,Kevin Calabro,ESPN Radio,6.35562428600731,9
2015,Kevin Ding,Bleacher Report,8.439937250797726,9
2015,Lang Whitaker,NBA.com,4.169878859258927,9
2015,Leo Rautins,SportsNet/TSN,1.6890114839399888,3
2015,Malik Rose,Comcast SportsNet,2.559583641970388,4
2015,Marc Berman,New York Post,3.831101925082163,5
2015,Marc Spears,Yahoo! Sports,4.918568725795973,9
2015,Marc Stein,ESPN.com,6.056664397459642,9
2015,Marc Zumoff,Comcast SportsNet,3.7991733505127274,5
2015,Mark Boyle,107.5/1070 The Fan,6.5316792168337665,9
2015,Mark Followill,TXA-21/Fox Sports Net,3.792841010163456,7
2015,Mark Medina,LA Daily News,4.342179046195349,9
2015,Marv Albert,TNT,4.205976669101918,9
2015,Matt Bullard,Root Sports Southwest,3.087201785161555,4
2015,Matt Devlin,SportsNet/TSN,0.6429403800672475,2
2015,Matt Pinto,WWLS / 98.1,4.390718503459043,6
2015,Matt Winer,NBA TV,4.722732112044017,9
2015,Michael Smith,Prime Ticket,3.9387740307453067,6
2015,Michael Wilbon,ESPN,5.34759955662028,9
2015,Mike Breen,ABC Sports,6.479960259302486,9
2015,Mike Crispino,MSG Network,4.566937700578988,3
2015,Mike Fratello,TNT,7.308605619883903,9
2015,Mike Gorman,Comcast SportsNet,4.3705590305391135,5
2015,Mike Inglis,WAXY Radio,2.780249048664319,3
2015,Mike Monroe,San Antonio Express-News,4.90326187630299,9
2015,Mike Rice,Comcast SportsNet NW,7.482805332736839,7
2015,Mike Tirico,ESPN,5.73196125892832,9
2015,Molly Sullivan,Comcast SportsNet,3.750411526066811,4
2015,NBA Fan Vote,NBA.com,1.14785847201235,1
2015,Neil Funk,Comcast SportsNet Chicago,3.6691161187852703,4
2015,Nick Friedell,ESPNChicago.com,1.679912995910879,3
2015,Paul Coro,Arizona Republic,5.8033253759893,9
2015,Paul Jones,TSN 1050/Sportsnet 590 The Fan,2.6417480783068195,4
2015,Pete Pranica,Fox Sports Tennessee,5.386223720000253,9
2015,Peter Botte,New York Daily News,1.855682353597798,4
2015,Phil Chenier,Comcast SportsNet Mid-Atlantic,5.980563184476681,7
2015,Ralph Lawler,Prime Ticket,6.886645976073583,7
2015,Ramona Shelburne,ESPN.com,6.176214272578972,9
2015,Ric Bucher,Bleacher Report,7.5715042206757595,9
2015,Rick Bonnell,Charlotte Observer,4.342463438177099,9
2015,Rod Boone,Newsday,3.2369801961877522,4
2015,Ron Boone,ROOT Sports,6.783322582256093,9
2015,Ron Tillery,Memphis Commercial Appeal,7.717885040606289,9
2015,Rusty Simmons,San Francisco Chronicle,3.7461313568532613,6
2015,Sage Steele,ABC Sports,5.886579526819746,9
2015,Sam Amick,USA Today,6.284527943347455,9
2015,Sam Smith,Bulls.com,5.927965669412052,9
2015,Scott Hastings,Altitude Sports & Entertainment,8.03212212298109,7
2015,Scott Lauer,WFNZ-610AM,4.378616982260314,5
2015,Sean Deveney,The Sporting News,6.285215414938003,9
2015,Sean Grande,WEEI Radio,2.7191515829289656,5
2015,Sean Kelley,WWL 105.3 FM,6.388774506857292,9
2015,Sherman Hamilton,NBA TV Canada,1.6548141565203007,3
2015,Stacey King,Comcast SportsNet Chicago,5.2067081108738495,4
2015,Stefan Bondy,New York Daily News,2.0376920468954527,4
2015,Stephanie Ready,Fox Sports Carolinas/SportSouth,2.9307187125678804,4
2015,Steve Albert,Fox Sports Arizona,2.2009345947729186,4
2015,Steve Aschburner,NBA.com,4.598451403769205,9
2015,Steve Buckhantz,Comcast SportsNet Mid-Atlantic,4.502247893051299,7
2015,Steve Holman,Hawks Radio Network,5.331488413669225,9
2015,Steve Martin,Fox Sports Carolinas/SportSouth,3.2904826355446453,5
2015,Steve Popper,The Record,3.881110708073372,5
2015,Ted Davis,WTMJ Radio,6.644229175639068,9
2015,Tim Bontemps,New York Post,4.000931994162017,4
2015,Tim Capstraw,WFAN (660),1.1758829998494382,3
2015,Tim Kempton,KTAR Radio,3.182115598430347,4
2015,Tim Roye,KNBR Radio,3.2286884490087626,5
2015,Tom Heinsohn,Comcast SportsNet,5.162706839924586,5
