year,award,voter_name,affiliation,player,points_given,num_ballots,tot_pts,avg_pts,abs_pt_diff,sq_pt_diff
2014,All-Defense,Kevin Calabro,ESPN Radio,Andre Iguodala,0,123,148,1.2131147540983607,1.2131147540983607,1.471647406611126
2014,All-Defense,Kevin Ding,Bleacher Report,Ricky Rubio,2,123,19,0.13934426229508196,1.860655737704918,3.4620397742542326
2014,All-Defense,Lang Whitaker,NBA.com,Chris Paul,0,123,156,1.278688524590164,1.278688524590164,1.6350443429185706
2014,All-Defense,Marc Spears,Yahoo! Sports,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
2014,All-Defense,Marc Stein,ESPN.com,Tim Duncan,2,123,45,0.3524590163934426,1.6475409836065573,2.7143912926632625
2014,All-Defense,Mark Boyle,WIBC,Serge Ibaka,0,123,152,1.2459016393442623,1.2459016393442623,1.5522708949207205
2014,All-Defense,Marv Albert,TNT,Shaun Livingston,2,123,3,0.00819672131147541,1.9918032786885247,3.9672803009943567
2014,All-Defense,Mary Schmitt Boyer,Cleveland Plain Dealer,Paul George,0,123,161,1.319672131147541,1.319672131147541,1.7415345337274926
2014,All-Defense,Matt Bullard,Comcast SportsNet Houston,Kawhi Leonard,2,123,89,0.7131147540983607,1.2868852459016393,1.6560736361193227
2014,All-Defense,Matt Devlin,SportsNet/TSN,Kyle Lowry,2,123,10,0.06557377049180328,1.9344262295081966,3.7420048374092985
2014,All-Defense,Matt Pinto,WWLS / 98.1,Victor Oladipo,2,123,3,0.00819672131147541,1.9918032786885247,3.9672803009943567
2014,All-Defense,Matt Winer,NBA TV,Tim Duncan,2,123,45,0.3524590163934426,1.6475409836065573,2.7143912926632625
2014,All-Defense,Michael Smith,Prime Ticket,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
2014,All-Defense,Michael Wallace,ESPN.com,DeAndre Jordan,2,123,63,0.5,1.5,2.25
2014,All-Defense,Michael Wilbon,ESPN,LeBron James,2,123,134,1.0819672131147542,0.9180327868852458,0.8427841977962911
2014,All-Defense,Mike Breen,ABC Sports,Kawhi Leonard,2,123,89,0.7131147540983607,1.2868852459016393,1.6560736361193227
2014,All-Defense,Mike Inglis,WIOD Radio,Kirk Hinrich,2,123,7,0.040983606557377046,1.959016393442623,3.837745229776942
2014,All-Defense,Mike Monroe,San Antonio Express-News,Tony Allen,2,123,60,0.47540983606557374,1.5245901639344264,2.3243751679656013
2014,All-Defense,Mike Rice,Comcast SportsNet NW,Nicolas Batum,2,123,3,0.00819672131147541,1.9918032786885247,3.9672803009943567
2014,All-Defense,Mike Tirico,ESPN,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
2014,All-Defense,Mitch Lawrence,New York Daily News,Russell Westbrook,2,123,5,0.02459016393442623,1.9754098360655739,3.902244020424617
2014,All-Defense,Nick Friedell,ESPNChicago.com,Serge Ibaka,0,123,152,1.2459016393442623,1.2459016393442623,1.5522708949207205
2014,All-Defense,Paul Coro,Arizona Republic,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
2014,All-Defense,Pete Pranica,Fox Sports Tennessee,Danny Green,2,123,3,0.00819672131147541,1.9918032786885247,3.9672803009943567
