voter_name,affiliation,forward,forward_2,center,guard,guard_2,forward_3,forward_4,center_2,guard_3,guard_4,forward_5,forward_6,center_3,guard_5,guard_6,year,award
Yoko Miyaji,Sports Graphic Number,"James, LeBron (Cle.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Harden, James (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Green, Draymond (G.S.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Durant, Kevin (G.S.)","Hayward, Gordon (Utah)","Jordan, DeAndre (LA-C)","Wall, John (Was.)","DeRozan, DeMar (Tor.)",2017,All-NBA
Zach Lowe,ESPN.com,"Leonard, Kawhi (S.A.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Westbrook, Russell (OKC.)","Harden, James (Hou.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Gobert, Rudy (Utah)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)","Green, Draymond (G.S.)","Durant, Kevin (G.S.)","Gasol, Marc (Mem.)","Wall, John (Was.)","Paul, Chris (LA-C)",2017,All-NBA
Aaron Falk,Salt Lake Tribune,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Westbrook, Russell -- OKC","Curry, Stephen -- GS","George, Paul -- IND","Durant, Kevin -- OKC","Horford, Al -- ATL","Paul, Chris -- LAC","Thompson, Klay -- GS","Millsap, Paul -- ATL","Aldridge, LaMarcus -- SA","Cousins, DeMarcus -- SAC","Lowry, Kyle -- TOR","Lillard, Damian -- POR",2016,All-NBA
Adam Himmelsbach,Boston Globe,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","George, Paul -- IND","Cousins, DeMarcus -- SAC","Lowry, Kyle -- TOR","Paul, Chris -- LAC","Thompson, Klay -- GS","Aldridge, LaMarcus -- SA","Drummond, Andre -- DET","Lillard, Damian -- POR","Thomas, Isaiah -- BOS",2016,All-NBA
Adrian Chavarria,KEYH 850 AM,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Durant, Kevin -- OKC","George, Paul -- IND","Drummond, Andre -- DET","Harden, James -- HOU","Lowry, Kyle -- TOR","Thompson, Klay -- GS","Butler, Jimmy -- CHI","Cousins, DeMarcus -- SAC","DeRozan, DeMar -- TOR","Lillard, Damian -- POR",2016,All-NBA
Al Iannazzone,Newsday,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Lowry, Kyle -- TOR","Aldridge, LaMarcus -- SA","Millsap, Paul -- ATL","Davis, Anthony -- NOP","Thompson, Klay -- GS","Harden, James -- HOU",2016,All-NBA
Alan Horton,WCCO 830-AM,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Millsap, Paul -- ATL","Horford, Al -- ATL","Lowry, Kyle -- TOR","Paul, Chris -- LAC","George, Paul -- IND","Davis, Anthony -- NOP","Cousins, DeMarcus -- SAC","Harden, James -- HOU","Lillard, Damian -- POR",2016,All-NBA
Andre Aldridge,Fox Sports South,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Drummond, Andre -- DET","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC","Jordan, DeAndre -- LAC","Thompson, Klay -- GS","Paul, Chris -- LAC","Millsap, Paul -- ATL","Aldridge, LaMarcus -- SA","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Harden, James -- HOU",2016,All-NBA
Andy Vasquez,Bergen Record,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Durant, Kevin -- OKC","Green, Draymond -- GS","Horford, Al -- ATL","Paul, Chris -- LAC","Lowry, Kyle -- TOR","Aldridge, LaMarcus -- SA","George, Paul -- IND","Towns, Karl-Anthony -- MIN","Lillard, Damian -- POR","Thompson, Klay -- GS",2016,All-NBA
Anthony Slater,The Oklahoman,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC","Cousins, DeMarcus -- SAC","Paul, Chris -- LAC","Lowry, Kyle -- TOR","George, Paul -- IND","Millsap, Paul -- ATL","Towns, Karl-Anthony -- MIN","Thompson, Klay -- GS","Lillard, Damian -- POR",2016,All-NBA
