voter_name,first_vote,last_vote,career_contrary_sc,num_awards_voted,contrary_per_ballot,contrary_per_pick,num_picks_made
Clifton Brown,2018,2018,35.95480199807454,9,3.9949779997860597,0.6537236726922643,55
Connor Letourneau,2018,2020,79.2067207474101,18,4.400373374856117,0.7200610977037282,110
Coral Lu,2020,2020,54.802446155811815,9,6.089160683979091,0.9964081119238511,55
Craig Ackerman,2014,2016,61.68599797211071,12,5.140499831009226,0.8688168728466298,71
Dan Devine,2020,2020,47.74324398937564,9,5.304804887708404,0.8680589816250117,55
Dan Woike,2014,2016,111.15453789962189,21,5.293073233315328,0.9924512312466239,112
Dante Marchitelli,2015,2016,82.34034591184367,11,7.485485991985788,1.0292543238980458,80
Darnell Mayberry,2014,2015,89.11863247666584,15,5.941242165111055,0.9480705582624025,94
Dave Campbell,2019,2019,42.59679591523315,9,4.7329773239147945,0.7744871984587846,55
Dave Johnson,2014,2016,124.36910524880795,19,6.545742381516209,1.1006115508744068,113
Dave McMenamin,2014,2020,265.817174200343,45,5.907048315563178,0.9736892827851392,273
Dave Pasch,2019,2020,98.0211316499944,18,5.445618424999689,0.8911011968181309,110
David Aldridge,2014,2018,301.625138868076,45,6.702780863735023,1.0968186867930036,275
David Cobb,2019,2019,57.486508398411665,9,6.387389822045741,1.045209243607485,55
David Mayo,2014,2016,179.5005796908481,22,8.159117258674913,1.2730537566726816,141
David Steele,2014,2016,103.28961250961454,15,6.885974167307636,0.993169351053986,104
David Wesley,2016,2016,60.353369473567874,8,7.544171184195984,1.508834236839197,40
Davide Chinellato,2017,2020,160.01662731861077,27,5.92654175254114,0.9697977413249138,165
Dei Lynam,2014,2015,75.07980123921172,13,5.775369326093209,1.0145919086379962,74
Dell Curry,2014,2016,50.09560644140299,12,4.174633870116916,0.8788702884456665,57
Dennis Neumann,2014,2016,108.99567018801024,17,6.411510011059426,0.9561023700702652,114
Dennis Scott,2017,2020,283.28211718017445,36,7.86894769944929,1.2876459871826111,220
Diamond Leung,2014,2016,91.57544603076275,16,5.723465376922672,0.9639520634817131,95
Diego Martínez Cabrera,2018,2020,169.97165212383848,27,6.295246374956981,1.0301312249929604,165
Dominique Wilkins,2014,2014,80.42780550444431,9,8.936422833827145,1.462323736444442,55
Doris Burke,2015,2020,260.75861220680935,54,4.828863189014988,0.7901776127479071,330
Doug Collins,2017,2017,61.66849334994773,9,6.852054816660859,1.1212453336354133,55
Doug Haller,2017,2017,37.93934569774923,9,4.215482855305471,0.6898062854136224,55
Doug Smith,2014,2020,351.5206650652684,54,6.509641945653119,1.0652141365614194,330
Duane Rankin,2019,2020,109.10277939484669,18,6.061265521935927,0.9918434490440609,110
Dwain Price,2014,2016,156.41663722552667,20,7.820831861276334,1.2716799774433063,123
Eddie Johnson,2015,2016,107.1481985491064,14,7.6534427535075995,1.1774527313088614,91
Eddie Sefko,2014,2018,284.77242314355675,39,7.301857003680943,1.2327810525695098,231
Elliott Teaford,2018,2018,54.27016108292762,9,6.030017898103069,0.9867302015077749,55
Eric Collins,2016,2016,44.23025308745416,4,11.05756327186354,1.8429272119772566,24
Eric Hasseltine,2014,2016,203.46850509187595,27,7.5358705589583685,1.2331424551022785,165
Eric Reid,2014,2016,69.81152910178463,9,7.756836566864958,1.0419631209221587,67
Eric Smith,2014,2016,61.15470001211333,11,5.559518182919394,0.8736385716016191,70
Eric Woodyard,2019,2019,53.610047510849306,9,5.956671945649923,0.9747281365608965,55
Erik Horne,2017,2020,136.04626939953874,27,5.038750718501435,0.8245228448456894,165
Ernie Johnson,2014,2020,301.8645716442843,54,5.590084660079339,0.9147411261948009,330
Ethan Skolnick,2014,2016,69.29466590098637,15,4.619644393399091,0.8450569012315411,82
Evan Barnes,2020,2020,38.46412341073635,9,4.273791490081816,0.6993476983770245,55
Flavio Tranquillo,2017,2019,172.33625970704855,27,6.382824433594391,1.0444621800427185,165
Fran Blinebury,2014,2017,239.82071853431827,36,6.661686625953285,1.090094175155992,220
Frank Isola,2014,2020,375.4380046623433,58,6.473069045902471,1.0342644756538384,363
Fred Katz,2019,2020,90.95685531177327,18,5.053158628431849,0.8268805028343025,110
Fred McLeod,2014,2016,144.79007549884724,21,6.894765499945107,1.0725190777692388,135
Gary Gerould,2014,2016,150.46791075283843,27,5.5728855834384605,0.9119267318353844,165
Gary Washburn,2014,2020,476.2552180337395,63,7.559606635456182,1.2370265403473752,385
George Blaha,2014,2016,171.48029311751546,23,7.455664918152846,1.174522555599421,146
Gina Mizell,2018,2018,43.13443136082251,9,4.792714595646945,0.7842623883785911,55
Glenn Consor,2014,2016,153.27810309436626,20,7.663905154718313,1.2461634397915955,123
Grant Napear,2014,2016,155.84195125729815,27,5.771924120640672,0.9444966742866554,165
Greg Anthony,2018,2020,191.37972867822336,27,7.088138099193458,1.159877143504384,165
Greg Logan,2018,2020,139.2734888001524,18,7.73741604445291,1.2661226254559308,110
Guillermo Schutz,2019,2019,34.66790702437537,9,3.851989669375041,0.6303255822613704,55
Howard Beck,2014,2020,355.1897560773556,63,5.637932636148501,0.9225707950061184,385
Hubie Brown,2014,2017,259.8112965604911,36,7.216980460013641,1.180960438911323,220
Ian Eagle,2014,2016,60.93187813265926,12,5.077656511054938,0.8581954666571726,71
Ira Winderman,2014,2016,80.45367377688967,12,6.704472814740806,1.0314573561139702,78
Israel Gutierrez,2014,2016,177.77638969702943,27,6.584310729519609,1.0774326648304815,165
J Michael Falgoust,2017,2017,86.68200501459185,9,9.631333890510206,1.576036454810761,55
JA Adande,2014,2017,207.35797239398906,36,5.759943677610807,0.9425362381544957,220
Jabari Young,2015,2015,53.28282916366765,7,7.611832737666807,1.0874046768095438,49
Jack Armstrong,2014,2016,48.54780684066742,8,6.0684758550834275,1.27757386422809,38
Jackie MacMullan,2017,2020,185.7573261248128,36,5.159925725689245,0.8443514823855127,220
Jacques Monclar,2017,2017,63.220224084464206,9,7.024469342718245,1.149458619717531,55
Jalen Rose,2017,2020,233.65955692515104,36,6.490543247920862,1.0620888951143228,220
Jared Greenberg,2017,2020,192.5818063943473,36,5.349494622065203,0.8753718472470332,220
Jason Anderson,2019,2020,86.17190144453545,18,4.787327858029747,0.7833809222230496,110
Jason Jackson,2014,2016,73.81900963497176,10,7.381900963497176,1.3181966006244958,56
Jason Jones,2014,2018,281.5954767000337,45,6.257677260000749,1.0239835516364861,275
Jason Kosmicki,2014,2016,166.7111490437527,20,8.335557452187635,1.4623785003837957,114
Jason Lieser,2016,2016,27.718958708335904,4,6.929739677083976,1.3199504146826622,21
Jason Lloyd,2014,2018,213.8027977172374,32,6.681337428663669,1.1020762768929764,194
Jason Quick,2016,2020,148.69530542529114,24,6.195637726053797,1.0471500382062757,142
Jeff McDonald,2014,2020,343.037707558833,63,5.445042977124333,0.8910070326203454,385
Jeff Turner,2014,2016,89.71821023935468,15,5.981214015956978,1.0941245151140815,82
Jeff Zillgitt,2014,2020,353.26037938345024,63,5.607307609261115,0.9175594269700006,385
Jerry Zgoda,2014,2018,250.43860293841553,45,5.565302287520345,0.9106858288669656,275
Jessica Camerato,2016,2016,37.04067866218342,6,6.1734464436972365,1.0010994233022545,37
Jim Barnett,2014,2016,116.4588798061776,15,7.763925320411841,1.1763523212745213,99
Jim Paschke,2014,2016,169.2533602863918,27,6.268642973570066,1.0257779411296473,165
Jim Petersen,2014,2016,162.93413500559365,27,6.034597592799765,0.9874796060945069,165
Jim Spanarkel,2016,2016,23.01858112115737,4,5.754645280289343,0.8853300431214374,26
Jody Genessy,2014,2016,166.48405459539168,27,6.166076096125618,1.0089942702751011,165
Joe Cowley,2014,2020,205.4482539700182,28,7.337437641786364,1.208519141000107,170
Joe Freeman,2014,2019,225.01399725857493,39,5.769589673296793,0.9000559890342997,250
Joe Goodman,2014,2015,56.44392550415563,8,7.055490688019454,1.0854601058491467,52
Joe Vardon,2017,2020,179.77601995009178,27,6.658371109262658,1.0895516360611623,165
Joel Meyers,2014,2016,154.04773057633727,27,5.705471502827306,0.9336226095535592,165
John Denton,2014,2016,120.8847252755314,17,7.110866192678317,1.5905884904675183,76
John Michael,2016,2016,24.58518777724668,6,4.09753129620778,0.7682871180389588,32
John Reid,2014,2015,103.03466024894928,18,5.724147791608293,0.9366787295359026,110
John Schuhmann,2017,2020,181.8363642358897,36,5.051010117663603,0.8265289283449532,220
Jon Barry,2014,2020,373.40797920782825,63,5.927110781076639,0.9698908550852682,385
Jon Krawczynski,2016,2017,103.81534767163706,18,5.767519315090947,0.9437758879239733,110
Jonathan Feigen,2014,2016,154.0956236459115,27,5.707245320218944,0.9339128705812818,165
Jose Paneda,2014,2016,77.40947496686019,9,8.601052774095576,1.1909149994901567,65
Josh Robbins,2019,2020,78.42393259169117,18,4.356885143982843,0.712944841742647,110
Justin Termine,2017,2020,183.27759329792286,36,5.091044258275635,0.833079969536013,220
Justin Verrier,2017,2017,54.41532340777141,9,6.046147045307935,0.9893695165049348,55
K.C. Johnson,2014,2019,206.57434977463686,39,5.296778199349663,0.8501002048338965,243
Keith Pompey,2014,2020,419.0245217335843,57,7.3513073988348125,1.163957004815512,360
Kelly Iko,2019,2020,84.23271307397818,18,4.679595170776565,0.7657519370361652,110
Ken Berger,2014,2016,168.68834691495252,27,6.247716552405649,1.022353617666379,165
Kennegh Lau,2019,2019,82.19431922544992,9,9.132702136161102,1.4944421677354531,55
Kevin Arnovitz,2014,2020,399.6483720736256,63,6.343624953549613,1.0380477196717548,385
Kevin Calabro,2014,2016,176.16173408469896,27,6.524508669803665,1.0676468732405997,165
Kevin Ding,2014,2017,200.48489260668555,25,8.019395704267422,1.260911274255884,159
Kevin Harlan,2017,2020,174.44914425755616,36,4.845809562709893,0.7929506557161643,220
Kevin O'Connor,2017,2020,181.02667132945516,36,5.028518648040421,0.822848506042978,220
Kevin Pelton,2018,2020,187.37117675141562,27,6.939673213015393,1.1355828894025188,165
Kristen Ledlow,2017,2020,166.43041719377314,36,4.623067144271476,0.7565018963353325,220
Kurt Helin,2017,2020,171.26618314227684,36,4.757393976174357,0.778482650646713,220
Lang Whitaker,2014,2017,170.0046407937991,36,4.722351133161086,0.7727483672445413,220
Lee Jenkins,2017,2018,102.36895153492372,18,5.687163974162429,0.9306268321356702,110
Leo Rautins,2014,2016,65.58551553028816,9,7.287279503365351,0.9788882914968382,67
Lisa Hsu,2019,2020,81.16990541099429,18,4.509439189499683,0.737908231009039,110
