voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Kevin Ding,Bleacher Report,"Green, Draymond -- GS","Gobert, Rudy -- UTA","Butler, Jimmy -- CHI",2015,MIP
Lang Whitaker,NBA.com,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2015,MIP
Malik Rose,Comcast SportsNet,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Leonard, Kawhi -- SA",2015,MIP
Marc Spears,Yahoo! Sports,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Marc Stein,ESPN.com,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,MIP
Mark Boyle,107.5/1070 The Fan,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,MIP
Mark Followill,TXA-21/Fox Sports Net,"Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Green, Draymond -- GS",2015,MIP
Mark Medina,LA Daily News,"Butler, Jimmy -- CHI","Davis, Anthony -- NO","Green, Draymond -- GS",2015,MIP
Marv Albert,TNT,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Matt Devlin,SportsNet/TSN,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Matt Pinto,WWLS / 98.1,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Matt Winer,NBA TV,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Michael Smith,Prime Ticket,"Davis, Anthony -- NO","Butler, Jimmy -- CHI","Thompson, Klay -- GS",2015,MIP
Michael Wilbon,ESPN,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA",2015,MIP
Mike Breen,ABC Sports,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA",2015,MIP
Mike Crispino,MSG Network,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Irving, Kyrie -- CLE",2015,MIP
Mike Fratello,TNT,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Vucevic, Nikola -- ORL",2015,MIP
Mike Monroe,San Antonio Express-News,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA",2015,MIP
Mike Rice,Comcast SportsNet NW,"Gobert, Rudy -- UTA","Oladipo, Victor -- ORL","Green, Draymond -- GS",2015,MIP
Mike Tirico,ESPN,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Paul Coro,Arizona Republic,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Middleton, Khris -- MIL",2015,MIP
Paul Jones,TSN 1050/Sportsnet 590 The Fan,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Harris, Tobias -- ORL",2015,MIP
Pete Pranica,Fox Sports Tennessee,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Peter Botte,New York Daily News,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Whiteside, Hassan -- MIA",2015,MIP
Ramona Shelburne,ESPN.com,"Davis, Anthony -- NO","Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA",2015,MIP
Ric Bucher,Bleacher Report,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Thompson, Klay -- GS",2015,MIP
Rick Bonnell,Charlotte Observer,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Rod Boone,Newsday,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Green, Draymond -- GS",2015,MIP
Ron Boone,ROOT Sports,"Gobert, Rudy -- UTA","Butler, Jimmy -- CHI","Thompson, Klay -- GS",2015,MIP
Ron Tillery,Memphis Commercial Appeal,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gasol, Marc -- MEM",2015,MIP
Rusty Simmons,San Francisco Chronicle,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Gobert, Rudy -- UTA",2015,MIP
Sage Steele,ABC Sports,"Davis, Anthony -- NO","Butler, Jimmy -- CHI","Hayward, Gordon -- UTA",2015,MIP
Sam Amick,USA Today,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Motiejunas, Donatas -- HOU",2015,MIP
Sam Smith,Bulls.com,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Whiteside, Hassan -- MIA",2015,MIP
Scott Hastings,Altitude Sports & Entertainment,"Thompson, Klay -- GS","Butler, Jimmy -- CHI","Antetokounmpo, Giannis -- MIL",2015,MIP
Scott Lauer,WFNZ-610AM,"Butler, Jimmy -- CHI","Thompson, Klay -- GS","Gobert, Rudy -- UTA",2015,MIP
Sean Deveney,The Sporting News,"Whiteside, Hassan -- MIA","Butler, Jimmy -- CHI","Knight, Brandon -- PHO",2015,MIP
Sean Kelley,WWL 105.3 FM,"Butler, Jimmy -- CHI","Antetokounmpo, Giannis -- MIL","Whiteside, Hassan -- MIA",2015,MIP
Sherrod Blakely,Comcast SportsNet,"Green, Draymond -- GS","Gobert, Rudy -- UTA","Butler, Jimmy -- CHI",2015,MIP
Stephanie Ready,Fox Sports Carolinas/SportSouth,"Butler, Jimmy -- CHI","Whiteside, Hassan -- MIA","Green, Draymond -- GS",2015,MIP
Steve Aschburner,NBA.com,"Butler, Jimmy -- CHI","Gobert, Rudy -- UTA","Green, Draymond -- GS",2015,MIP
Steve Buckhantz,Comcast SportsNet Mid-Atlantic,"Butler, Jimmy -- CHI","Antetokounmpo, Giannis -- MIL","Gobert, Rudy -- UTA",2015,MIP
Steve Holman,Hawks Radio Network,"Butler, Jimmy -- CHI","Green, Draymond -- GS","Schroder, Dennis -- ATL",2015,MIP
