voter_name,affiliation,year,award,player,points_given,num_ballots,tot_pts,avg_pts,abs_pt_diff,sq_pt_diff
Marv Albert,TNT,2014,All-Defense,Shaun Livingston,2,123,3,0.00819672131147541,1.9918032786885247,3.9672803009943567
Mary Schmitt Boyer,Cleveland Plain Dealer,2014,All-Defense,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
Matt Bullard,Comcast SportsNet Houston,2014,All-Defense,Kawhi Leonard,2,123,89,0.7131147540983607,1.2868852459016393,1.6560736361193227
Matt Devlin,SportsNet/TSN,2014,All-Defense,Kyle Lowry,2,123,10,0.06557377049180328,1.9344262295081966,3.7420048374092985
Matt Pinto,WWLS / 98.1,2014,All-Defense,Victor Oladipo,2,123,3,0.00819672131147541,1.9918032786885247,3.9672803009943567
Matt Winer,NBA TV,2014,All-Defense,Tim Duncan,2,123,45,0.3524590163934426,1.6475409836065573,2.7143912926632625
Michael Smith,Prime Ticket,2014,All-Defense,Anthony Davis,2,123,62,0.4918032786885246,1.5081967213114753,2.274657350174684
Michael Wallace,ESPN.com,2014,All-Defense,DeAndre Jordan,2,123,63,0.5,1.5,2.25
Michael Wilbon,ESPN,2014,All-Defense,LeBron James,2,123,134,1.0819672131147542,0.9180327868852458,0.8427841977962911
Mike Breen,ABC Sports,2014,All-Defense,Kawhi Leonard,2,123,89,0.7131147540983607,1.2868852459016393,1.6560736361193227
Mike Inglis,WIOD Radio,2014,All-Defense,Kirk Hinrich,2,123,7,0.040983606557377046,1.959016393442623,3.837745229776942
Mike Monroe,San Antonio Express-News,2014,All-Defense,Tony Allen,2,123,60,0.47540983606557374,1.5245901639344264,2.3243751679656013
Mike Rice,Comcast SportsNet NW,2014,All-Defense,Nicolas Batum,2,123,3,0.00819672131147541,1.9918032786885247,3.9672803009943567
Mike Tirico,ESPN,2014,All-Defense,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
Mitch Lawrence,New York Daily News,2014,All-Defense,Russell Westbrook,2,123,5,0.02459016393442623,1.9754098360655739,3.902244020424617
Nick Friedell,ESPNChicago.com,2014,All-Defense,Patrick Beverley,2,123,112,0.9016393442622951,1.098360655737705,1.2063961300725614
Paul Coro,Arizona Republic,2014,All-Defense,Jimmy Butler,2,123,103,0.8278688524590164,1.1721311475409837,1.3738914270357432
Pete Pranica,Fox Sports Tennessee,2014,All-Defense,Danny Green,2,123,3,0.00819672131147541,1.9918032786885247,3.9672803009943567
Phil Chenier,Comcast SportsNet,2014,All-Defense,Trevor Ariza,2,123,5,0.02459016393442623,1.9754098360655739,3.902244020424617
Ralph Lawler,Prime Ticket,2014,All-Defense,Darren Collison,1,123,1,0,1,1
Ric Bucher,Bleacher Report,2014,All-Defense,Tony Allen,2,123,60,0.47540983606557374,1.5245901639344264,2.3243751679656013
Rick Bonnell,Charlotte Observer,2014,All-Defense,Tony Allen,2,123,60,0.47540983606557374,1.5245901639344264,2.3243751679656013
Rod Boone,Newsday,2014,All-Defense,LeBron James,2,123,134,1.0819672131147542,0.9180327868852458,0.8427841977962911
