voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award,all_defensive_first_team,all_defensive_first_team_2,all_defensive_first_team_3,all_defensive_first_team_4,all_defensive_first_team_5,all_defensive_second_team,all_defensive_second_team_2,all_defensive_second_team_3,all_defensive_second_team_4,all_defensive_second_team_5
Mark Jackson,ESPN,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Turner, Myles (IND)","Bridges, Mikal (PHX)","Paul, Chris (PHX)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Medina,USA Today,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Butler, Jimmy (MIA)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marv Albert,Turner,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Paul, Chris (PHX)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Winer,Turner,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Dort, Luguentz (OKC)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauricio Codocea,Clarin (Argentina),"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Paul, Chris (PHX)","Green, Draymond (GSW)","Bridges, Mikal (PHX)","Adebayo, Bam (MIA)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Max Haupt,DPA,"Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Smart, Marcus (BOS)","Wood, Christian (HOU)","Theis, Daniel (CHI)","Turner, Myles (IND)","Paul, Chris (PHX)","Schroder, Dennis (LAL)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melissa Rohlin,Fox Sports,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Bridges, Mikal (PHX)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael C. Wright,NBA.com,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Grange,Rogers Sportsnet,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","VanVleet, Fred (TOR)","Butler, Jimmy (MIA)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilbon,ESPN,"Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","George, Paul (LAC)","Conley, Mike (UTA)","Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Capela, Clint (ATL)","Westbrook, Russell (WAS)","Paul, Chris (PHX)",2021,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
