voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award,all_defensive_first_team,all_defensive_first_team_2,all_defensive_first_team_3,all_defensive_first_team_4,all_defensive_first_team_5,all_defensive_second_team,all_defensive_second_team_2,all_defensive_second_team_3,all_defensive_second_team_4,all_defensive_second_team_5
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Paul, Chris (HOU)","Butler, Jimmy (MIN)","Horford, Al (BOS)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Murray, Dejounte (SAS)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ron Tillery,Memphis Commercial Appeal,"Horford, Al (BOS)","Durant, Kevin (GSW)","Gobert, Rudy (UTA)","Butler, Jimmy (MIN)","Murray, Dejounte (SAS)","Green, Draymond (GSW)","Covington, Robert (PHI)","Davis, Anthony (NOP)","Oladipo, Victor (IND)","Paul, Chris (HOU)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosalyn Gold‐Onwude,Turner,"Davis, Anthony (NOP)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Holiday, Jrue (NOP)","Durant, Kevin (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Bledsoe, Eric (MIL)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royce Young,ESPN.com,"Davis, Anthony (NOP)","George, Paul (OKC)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Holiday, Jrue (NOP)","Durant, Kevin (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Roberson, Andre (OKC)","Brown, Jaylen (BOS)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Amick,USA Today,"Covington, Robert (PHI)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Butler, Jimmy (MIN)","Murray, Dejounte (SAS)","Green, Draymond (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Paul, Chris (HOU)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scott Bordow,Arizona Republic,"Tucker, PJ (HOU)","Durant, Kevin (GSW)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Simmons, Ben (PHI)","Horford, Al (BOS)","Brown, Jaylen (BOS)","Davis, Anthony (NOP)","Roberson, Andre (OKC)","Oladipo, Victor (IND)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Deveney,The Sporting News,"George, Paul (OKC)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)","Oladipo, Victor (IND)","James, LeBron (CLE)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Thompson, Klay (GSW)","Lowry, Kyle (TOR)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sekou Smith,NBA.com,"George, Paul (OKC)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","Durant, Kevin (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Butler, Jimmy (MIN)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sherrod Blakely,NBC Sports Boston,"Covington, Robert (PHI)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Murray, Dejounte (SAS)","Horford, Al (BOS)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Butler, Jimmy (MIN)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stefan Bondy,New York Daily News,"Brown, Jaylen (BOS)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Holiday, Jrue (NOP)","Covington, Robert (PHI)","Davis, Anthony (NOP)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Murray, Dejounte (SAS)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Aschburner,NBA.com,"Davis, Anthony (NOP)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Paul, Chris (HOU)","Green, Draymond (GSW)","Butler, Jimmy (MIN)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Smart, Marcus (BOS)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Smith,Turner,"Davis, Anthony (NOP)","Covington, Robert (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Oladipo, Victor (IND)","Green, Draymond (GSW)","Horford, Al (BOS)","Embiid, Joel (PHI)","Paul, Chris (HOU)","Butler, Jimmy (MIN)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thales Soares,Globoesporte.com,"Davis, Anthony (NOP)","Durant, Kevin (GSW)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Brown, Jaylen (BOS)","George, Paul (OKC)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Westbrook, Russell (OKC)","Paul, Chris (HOU)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Reynolds,Associated Press,"Davis, Anthony (NOP)","Butler, Jimmy (MIN)","Gobert, Rudy (UTA)","Richardson, Josh (MIA)","Thompson, Klay (GSW)","Durant, Kevin (GSW)","Green, Draymond (GSW)","Drummond, Andre (DET)","Paul, Chris (HOU)","Holiday, Jrue (NOP)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TJ Manotoc,ABS‐CBN,"Davis, Anthony (NOP)","Durant, Kevin (GSW)","Gobert, Rudy (UTA)","Butler, Jimmy (MIN)","Murray, Dejounte (SAS)","Green, Draymond (GSW)","George, Paul (OKC)","Embiid, Joel (PHI)","Oladipo, Victor (IND)","Paul, Chris (HOU)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Jones,Salt Lake Tribune,"Davis, Anthony (NOP)","Horford, Al (BOS)","Gobert, Rudy (UTA)","Holiday, Jrue (NOP)","Simmons, Ben (PHI)","Green, Draymond (GSW)","George, Paul (OKC)","Embiid, Joel (PHI)","Richardson, Josh (MIA)","Paul, Chris (HOU)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vincent Goodwill,NBC Sports Chicago,"George, Paul (OKC)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Paul, Chris (HOU)","Horford, Al (BOS)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Holiday, Jrue (NOP)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weiping Zhang,CCTV,"Covington, Robert (PHI)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","George, Paul (OKC)","Horford, Al (BOS)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Paul, Chris (HOU)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Guillory,New Orleans Times‐Picayune,"Tucker, PJ (HOU)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Holiday, Jrue (NOP)","Horford, Al (BOS)","Durant, Kevin (GSW)","Embiid, Joel (PHI)","Butler, Jimmy (MIN)","Murray, Dejounte (SAS)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier Vaution,BeIn Sport,"George, Paul (OKC)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Oladipo, Victor (IND)","Smart, Marcus (BOS)","Butler, Jimmy (MIN)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Murray, Dejounte (SAS)","Thompson, Klay (GSW)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yoko Miyaji,Sports Graphic Number,"Davis, Anthony (NOP)","Butler, Jimmy (MIN)","Gobert, Rudy (UTA)","Murray, Dejounte (SAS)","Oladipo, Victor (IND)","Covington, Robert (PHI)","Horford, Al (BOS)","Embiid, Joel (PHI)","Holiday, Jrue (NOP)","Paul, Chris (HOU)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Lowe,ESPN.com,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (NOP)","Gobert, Rudy (UTA)","Paul, Chris (HOU)","Oladipo, Victor (IND)","Covington, Robert (PHI)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Richardson, Josh (MIA)","Holiday, Jrue (NOP)",2018,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ailene Voisin,Sacramento Bee,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Durant, Kevin (G.S.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andrew Sharp,Sports Illustrated,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Adams, Steven (OKC.)","Green, Danny (S.A.)","Smart, Marcus (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Slater,Bay Area News Group,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Durant, Kevin (G.S.)","Davis, Anthony (N.O.)","Thompson, Klay (G.S.)","Green, Danny (S.A.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antoni Daimiel,Moviestar+,"Covington, Robert (Phi.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Smart, Marcus (Bos.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)","Whiteside, Hassan (Mia.)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Golliver,Sports Illustrated,"Green, Draymond (G.S.)","Roberson, Andre (OKC.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Green, Danny (S.A.)","Leonard, Kawhi (S.A.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Rubio, Ricky (Min.)","Smart, Marcus (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Oram,Orange County Register,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","Covington, Robert (Phi.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Simmons,The Ringer,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Antetokounmpo, Giannis (Mil.)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Covington, Robert (Phi.)","Davis, Anthony (N.O.)","Bradley, Avery (Bos.)","Rivers, Austin (LA-C)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brent Barry,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Holiday, Jrue (N.O.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Lewis,New York Post,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Mahoney,Associated Press,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Bradley, Avery (Bos.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Paul, Chris (LA-C)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brian Windhorst,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calvin Watkins,ESPN.com,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Wall, John (Was.)","George, Paul (Ind.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Paul, Chris (LA-C)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charles Gardner,Milwaukee Journal-Sentinel,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Smart, Marcus (Bos.)","Bradley, Avery (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Broussard,Fox Sports,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Davis, Anthony (N.O.)","Millsap, Paul (Atl.)","Whiteside, Hassan (Mia.)","Green, Danny (S.A.)","Smart, Marcus (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Webber,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Antetokounmpo, Giannis (Mil.)","Allen, Tony (Mem.)","Davis, Anthony (N.O.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Aldridge,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Green, Danny (S.A.)","Durant, Kevin (G.S.)","Antetokounmpo, Giannis (Mil.)","Whiteside, Hassan (Mia.)","Allen, Tony (Mem.)","Curry, Stephen (G.S.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davide Chinellato,LaGazetta Dello Sport,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Wall, John (Was.)","Butler, Jimmy (Chi.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Paul, Chris (LA-C)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dennis Scott,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Conley, Mike (Mem.)","Antetokounmpo, Giannis (Mil.)","Ariza, Trevor (Hou.)","Gasol, Marc (Mem.)","Allen, Tony (Mem.)","Thompson, Klay (G.S.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doris Burke,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Green, Danny (S.A.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doug Collins,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Conley, Mike (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doug Haller,Arizona Republic,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Tucker, PJ (Tor.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doug Smith,The Toronto Star,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","James, LeBron (Cle.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Bradley, Avery (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddie Sefko,Dallas Morning News,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Matthews, Wesley (Dal.)","Antetokounmpo, Giannis (Mil.)","Ariza, Trevor (Hou.)","Butler, Jimmy (Chi.)","Whiteside, Hassan (Mia.)","Allen, Tony (Mem.)","Wall, John (Was.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erik Horne,The Oklahoman,"Roberson, Andre (OKC.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Leonard, Kawhi (S.A.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ernie Johnson,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Batum, Nicolas (Cha.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flavio Tranquillo,Sky Italia,"Green, Draymond (G.S.)","Covington, Robert (Phi.)","Gobert, Rudy (Utah)","Antetokounmpo, Giannis (Mil.)","Green, Danny (S.A.)","Kidd-Gilchrist, Michael (Cha.)","Leonard, Kawhi (S.A.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Smart, Marcus (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fran Blinebury,NBA.com,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Thompson, Klay (G.S.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frank Isola,Sirius Radio/New York Daily News,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Thompson, Klay (G.S.)","Antetokounmpo, Giannis (Mil.)","James, LeBron (Cle.)","Whiteside, Hassan (Mia.)","Wall, John (Was.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Washburn,Boston Globe,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Bradley, Avery (Bos.)","Allen, Tony (Mem.)","Millsap, Paul (Atl.)","Crowder, Jae (Bos.)","Whiteside, Hassan (Mia.)","Wall, John (Was.)","Paul, Chris (LA-C)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Howard Beck,Bleacher Report,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Bradley, Avery (Bos.)","Tucker, PJ (Tor.)","Butler, Jimmy (Chi.)","Davis, Anthony (N.O.)","Thompson, Klay (G.S.)","Smart, Marcus (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hubie Brown,ABC/ESPN,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Davis, Anthony (N.O.)","Crowder, Jae (Bos.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Wall, John (Was.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J Michael Falgoust,CSN Washington,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","George, Paul (Ind.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JA Adande,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)","Antetokounmpo, Giannis (Mil.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Thompson, Klay (G.S.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jackie MacMullan,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Allen, Tony (Mem.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Smart, Marcus (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacques Monclar,BEIN Sport,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Thompson, Klay (G.S.)","Ibaka, Serge (Tor.)","James, LeBron (Cle.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Bradley, Avery (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Rose,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Wall, John (Was.)","Davis, Anthony (N.O.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Paul, Chris (LA-C)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jared Greenberg,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Thompson, Klay (G.S.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Jones,Sacramento Bee,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Allen, Tony (Mem.)","Mbah a Moute, Luc (LA-C)","Iguodala, Andre (G.S.)","Whiteside, Hassan (Mia.)","Conley, Mike (Mem.)","Green, Danny (S.A.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff McDonald,San Antonio Express-News,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","James, LeBron (Cle.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jeff Zillgitt,USA Today,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Butler, Jimmy (Chi.)","Roberson, Andre (OKC.)","Howard, Dwight (Atl.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Zgoda,Minneapolis Star-Tribune,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Smart, Marcus (Bos.)","Roberson, Andre (OKC.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Antetokounmpo, Giannis (Mil.)","Thompson, Klay (G.S.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Freeman,The Oregonian,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)","Millsap, Paul (Atl.)","Allen, Tony (Mem.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Green, Danny (S.A.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joe Vardon,Cleveland.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","Millsap, Paul (Atl.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Bradley, Avery (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
John Schuhmann,NBA.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Covington, Robert (Phi.)","Davis, Anthony (N.O.)","Holiday, Jrue (N.O.)","Green, Danny (S.A.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jon Barry,ESPN Radio,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)","Davis, Anthony (N.O.)","George, Paul (Ind.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Thompson, Klay (G.S.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
