voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Davide Chinellato,La Gazzetta Dello Sport,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Adebayo, Bam (MIA)",2021,DPOY
Dennis Scott,Turner,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Capela, Clint (ATL)",2021,DPOY
Diego Martinez,Reforma,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Doris Burke,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Doug Smith,The Toronto Star,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Duane Rankin,Arizona Republic,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Green, Draymond (GSW)",2021,DPOY
Ernie Johnson,Turner,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)",2021,DPOY
Evan Barnes,Memphis Commercial Appeal,"Gobert, Rudy (UTA)","Embiid, Joel (PHI)","Green, Draymond (GSW)",2021,DPOY
Frank Isola,Sirius Radio,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Fred Katz,The Athletic,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Gary Washburn,Boston Globe,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Greg Anthony,Turner,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Adebayo, Bam (MIA)",2021,DPOY
Guillermo Schutz,Televisa (TUDN),"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Howard Beck,Sports Illustrated,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Jackie MacMullan,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Embiid, Joel (PHI)",2021,DPOY
Jalen Rose,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Jamal Collier,Chicago Tribune,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
James Owczarski,Milwaukee Journal Sentinel,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Jared Greenberg,Turner,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Jason Jones,The Athletic,"Simmons, Ben (PHI)","Green, Draymond (GSW)","Gobert, Rudy (UTA)",2021,DPOY
Jeff McDonald,San Antonio Express-News,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Capela, Clint (ATL)",2021,DPOY
Jeff Zillgitt,USA Today,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Joe Freeman,The Oregonian,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Joe Mussatto,The Oklahoman,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Joe Vardon,The Athletic,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)",2021,DPOY
John Schuhmann,NBA.com,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Simmons, Ben (PHI)",2021,DPOY
Jon Barry,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Turner, Myles (IND)",2021,DPOY
Justin Termine,Sirius Radio,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Keith Pompey,Philadelphia Inquirer and Daily News,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)",2021,DPOY
Kelly Iko,The Athletic,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Simmons, Ben (PHI)",2021,DPOY
Kevin Arnovitz,ESPN,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Capela, Clint (ATL)",2021,DPOY
Kevin Harlan,Turner,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Kevin O'Connor,The Ringer,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Kevin Pelton,ESPN,"Gobert, Rudy (UTA)","Capela, Clint (ATL)","Turner, Myles (IND)",2021,DPOY
Kurt Helin,NBCSports.com,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Simmons, Ben (PHI)",2021,DPOY
