voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Steve Aschburner,NBA.com,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Vogel, Frank (Los Angeles Lakers)",2020,COY
Steve Smith,Turner,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Budenholzer, Mike (Milwaukee Bucks)",2020,COY
Tim Bontemps,ESPN,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","McMillan, Nate (Indiana Pacers)",2020,COY
Tim Reynolds,Associated Press,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Spoelstra, Erik (Miami Heat)",2020,COY
Vince Goodwill,Yahoo! Sports,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Spoelstra, Erik (Miami Heat)",2020,COY
Will Guillory,The Athletic,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Jenkins, Taylor (Memphis Grizzlies)",2020,COY
Yoko Miyaji,Sports Graphic Number,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Zach Harper,The Athletic,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
Zach Lowe,ESPN,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2020,COY
A. Sherrod Blakely,NBC Sports Boston,"Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2019,COY
Amin Elhassan,ESPN,"Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)",2019,COY
