voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Aaron Falk,Salt Lake Tribune,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Adam Himmelsbach,Boston Globe,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Al Iannazzone,Newsday,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Alan Horton,WCCO 830-AM,"Towns, Karl-Anthony -- MIN","Jokic, Nikola -- DEN","Porzingis, Kristaps -- NYK",2016,ROY
Andre Aldridge,Fox Sports South,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Anthony Slater,The Oklahoman,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Antonio Harvey,Fox Sports Radio/620AM,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
Bill Land,Fox Sports Southwest,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Bill Oram,Orange County Register,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Bill Reiter,CBSSports.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Bill Schoening,WOAI Radio,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Okafor, Jahlil -- PHI",2016,ROY
Bill Simmons,Bill Simmons Podcast/HBO,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Bob Rathbun,Fox Sports South,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Brian Davis,Fox Sports Oklahoma,"Towns, Karl-Anthony -- MIN","Jokic, Nikola -- DEN","Porzingis, Kristaps -- NYK",2016,ROY
Brian Lewis,New York Post,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Brian Mahoney,Associated Press,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
