voter_name,affiliation,first,first_2,first_3,first_4,first_5,second,second_2,second_3,second_4,second_5,year,award
Sage Steele,ABC Sports,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Turner, Myles -- IND","Cauley-Stein, Willie -- SAC","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN",2016,All-Rook
Bill Reiter,CBSSports.com,"Russell, D'Angelo -- LAL","Booker, Devin -- PHX","Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Turner, Myles -- IND","Winslow, Justise -- MIA","Cauley-Stein, Willie -- SAC","Okafor, Jahlil -- PHI","Johnson, Stanley -- DET",2016,All-Rook
Rick Bonnell,Charlotte Observer,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Russell, D'Angelo -- LAL","Kaminsky, Frank -- CHA","Mudiay, Emmanuel -- DEN","Nance Jr., Larry -- LAL","Okafor, Jahlil -- PHI","Winslow, Justise -- MIA",2016,All-Rook
Steve Popper,The Record,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Turner, Myles -- IND","Russell, D'Angelo -- LAL","Richardson, Josh -- MIA","Okafor, Jahlil -- PHI","Mudiay, Emmanuel -- DEN",2016,All-Rook
Jason Lieser,Palm Beach Post,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Richardson, Josh -- MIA","Cauley-Stein, Willie -- SAC","Turner, Myles -- IND","Okafor, Jahlil -- PHI","Jokic, Nikola -- DEN",2016,All-Rook
Zach Lowe,ESPN.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX","Winslow, Justise -- MIA","Jokic, Nikola -- DEN","Russell, D'Angelo -- LAL","Lyles, Trey -- UTA","Turner, Myles -- IND","Okafor, Jahlil -- PHI","Kaminsky, Frank -- CHA",2016,All-Rook
George Blaha,WMGC / Fox Sports Detroit,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Turner, Myles -- IND","Mudiay, Emmanuel -- DEN","Booker, Devin -- PHX","Russell, D'Angelo -- LAL","Jokic, Nikola -- DEN","Winslow, Justise -- MIA","Okafor, Jahlil -- PHI","Kaminsky, Frank -- CHA",2016,All-Rook
Charles Gardner,Milwaukee Journal Sentinel,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN","Booker, Devin -- PHX","Richardson, Josh -- MIA","Kaminsky, Frank -- CHA","Mudiay, Emmanuel -- DEN","Winslow, Justise -- MIA","Okafor, Jahlil -- PHI","Russell, D'Angelo -- LAL",2016,All-Rook
Sekou Smith,NBA.com,"Doncic, Luka (DAL)","Young, Trae (ATL)","Ayton, Deandre (PHX)","Bagley III, Marvin (SAC)","Jackson Jr., Jaren (MEM)","Gilgeous-Alexander, Shai (LAC)","Sexton, Collin (CLE)","Robinson, Mitchell (NYK)","Okogie, Josh (MIN)","Shamet, Landry (LAC)",2019,All-Rook
Ramona Shelburne,ESPN.com,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL","Clarkson, Jordan -- LAL","Noel, Nerlens -- PHI","Galloway, Langston -- NY","Hood, Rodney -- UTA","LaVine, Zach -- MIN","Papanikolaou, Kostas -- HOU","Nurkic, Jusuf -- DEN",2015,All-Rook
Dave McMenamin,ESPN.com,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI","Payton, Elfrid -- ORL","Clarkson, Jordan -- LAL","Bogdanovic, Bojan -- BRK","Grant, Jerami -- PHI","Galloway, Langston -- NY","Parker, Jabari -- MIL","LaVine, Zach -- MIN",2015,All-Rook
Pete Pranica,Fox Sports Tennessee,"Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL","Clarkson, Jordan -- LAL","LaVine, Zach -- MIN","Hood, Rodney -- UTA","Galloway, Langston -- NY","Parker, Jabari -- MIL","Grant, Jerami -- PHI",2015,All-Rook
Steve Popper,The Record,"Mirotic, Nikola -- CHI","Wiggins, Andrew -- MIN","Noel, Nerlens -- PHI","Smart, Marcus -- BOS","Payton, Elfrid -- ORL","Clarkson, Jordan -- LAL","Nurkic, Jusuf -- DEN","Galloway, Langston -- NY","Parker, Jabari -- MIL","Black, Tarik -- LAL",2015,All-Rook
Ethan Skolnick,Bleacher Report,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Payton, Elfrid -- ORL","Noel, Nerlens -- PHI","Clarkson, Jordan -- LAL","Smart, Marcus -- BOS","Nurkic, Jusuf -- DEN","Hood, Rodney -- UTA","Parker, Jabari -- MIL","McGary, Mitch -- OKC",2015,All-Rook
Vince Ellis,Detroit Free Press,"Wiggins, Andrew -- MIN","Payton, Elfrid -- ORL","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI","Clarkson, Jordan -- LAL","Nurkic, Jusuf -- DEN","Black, Tarik -- LAL","LaVine, Zach -- MIN","Parker, Jabari -- MIL","Smart, Marcus -- BOS",2015,All-Rook
Jim Petersen,Fox Sports North,"Payton, Elfrid -- ORL","Smart, Marcus -- BOS","Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI","Clarkson, Jordan -- LAL","Galloway, Langston -- NY","LaVine, Zach -- MIN","Parker, Jabari -- MIL","Nurkic, Jusuf -- DEN",2015,All-Rook
Malik Rose,Comcast SportsNet,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Noel, Nerlens -- PHI","Payton, Elfrid -- ORL","Clarkson, Jordan -- LAL","LaVine, Zach -- MIN","Smart, Marcus -- BOS","Nurkic, Jusuf -- DEN","Parker, Jabari -- MIL","Galloway, Langston -- NY",2015,All-Rook
Jason Kosmicki,Altitude Radio Network,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Nurkic, Jusuf -- DEN","Payton, Elfrid -- ORL","Noel, Nerlens -- PHI","Bogdanovic, Bojan -- BRK","LaVine, Zach -- MIN","Smart, Marcus -- BOS","Parker, Jabari -- MIL","Black, Tarik -- LAL",2015,All-Rook
