voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Dave Pasch,ESPN,"Stephen Curry, Golden State","Nikola Jokic, Denver","DeMar Derozan, Chicago",2024,CPOY
Kevin Pelton,ESPN,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Giannis Antetokounmpo, Milwaukee",2024,CPOY
Kendrick Perkins,ESPN,"Stephen Curry, Golden State","Jalen Brunson, New York","Nikola Jokic, Denver",2024,CPOY
Michael Pina,The Ringer,"Stephen Curry, Golden State","Nikola Jokic, Denver","DeMar Derozan, Chicago",2024,CPOY
Julia Poe,Chicago Tribune,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Damian Lillard, Milwaukee",2024,CPOY
Keith Pompey,Philadelphia Inquirer,"Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago","Stephen Curry, Golden State",2024,CPOY
Shaun Powell,NBA.com,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Luka Doncic, Dallas",2024,CPOY
Khobi Price,Southern California News Group,"Nikola Jokic, Denver","DeMar Derozan, Chicago","Stephen Curry, Golden State",2024,CPOY
Jason Quick,The Athletic,"Nikola Jokic, Denver","DeMar Derozan, Chicago","Luka Doncic, Dallas",2024,CPOY
Duane Rankin,Arizona Republic,"Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago",2024,CPOY
Stephanie Ready,WarnerMedia,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Damian Lillard, Milwaukee",2024,CPOY
JJ Redick,ESPN,"Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver",2024,CPOY
Bill Reiter,CBSSports.com,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Nikola Jokic, Denver",2024,CPOY
Remi Reverchon,BeIN Sports,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Tim Reynolds,Associated Press,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Josh Robbins,The Athletic,"Nikola Jokic, Denver","Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago",2024,CPOY
Melissa Rohlin,Fox Sports,"Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago",2024,CPOY
Taylor Rooks,Bleacher Report,"Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago",2024,CPOY
Ryen Russillo,The Ringer,"Stephen Curry, Golden State","Luka Doncic, Dallas","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Simone Sandri,La Gazzetta dello Sport,"DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City","Stephen Curry, Golden State",2024,CPOY
John Schuhmann,NBA.com,"Shai Gilgeous-Alexander, Oklahoma City","Nikola Jokic, Denver","Stephen Curry, Golden State",2024,CPOY
Dennis Scott,WarnerMedia,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Jalen Brunson, New York",2024,CPOY
